"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2015","1.0347","1.0690","1.0718","1.0285","","-3.18%"
"06/01/2015","1.0687","1.0630","1.0932","1.0518","","0.50%"
"05/01/2015","1.0634","1.0720","1.1027","1.0473","","-0.82%"
"04/01/2015","1.0722","1.0283","1.0743","1.0135","","4.29%"
"03/01/2015","1.0281","1.0482","1.0539","0.9872","","-1.96%"
"02/01/2015","1.0487","1.0805","1.0901","1.0472","","-3.35%"
"01/01/2015","1.0851","1.0056","1.3433","0.9765","","7.91%"
"12/01/2014","1.0056","1.0351","1.0467","1.0051","","-2.86%"
"11/01/2014","1.0352","1.0373","1.0491","1.0265","","-0.29%"
"10/01/2014","1.0382","1.0469","1.0684","1.0318","","-0.81%"
"09/01/2014","1.0467","1.0889","1.0901","1.0419","","-3.86%"
"08/01/2014","1.0887","1.1006","1.1084","1.0885","","-1.06%"
"07/01/2014","1.1004","1.1277","1.1293","1.0979","","-2.40%"
"06/01/2014","1.1275","1.1178","1.1284","1.1064","","0.93%"
"05/01/2014","1.1171","1.1358","1.1490","1.1121","","-1.59%"
"04/01/2014","1.1352","1.1303","1.1439","1.1169","","0.45%"
"03/01/2014","1.1301","1.1360","1.1498","1.1235","","-0.50%"
"02/01/2014","1.1358","1.1030","1.1394","1.1010","","2.99%"
"01/01/2014","1.1028","1.1201","1.1233","1.0920","","-1.48%"
"12/01/2013","1.1194","1.1041","1.1366","1.0976","","1.46%"
"11/01/2013","1.1033","1.1027","1.1078","1.0809","","0.05%"
"10/01/2013","1.1027","1.1050","1.1249","1.0895","","-0.20%"
"09/01/2013","1.1049","1.0747","1.1086","1.0574","","2.80%"
"08/01/2013","1.0748","1.0796","1.0933","1.0641","","-0.42%"
"07/01/2013","1.0793","1.0576","1.0837","1.0253","","1.97%"
"06/01/2013","1.0584","1.0461","1.0954","1.0388","","1.12%"
"05/01/2013","1.0467","1.0757","1.0816","1.0163","","-2.72%"
"04/01/2013","1.0760","1.0526","1.0863","1.0495","","2.17%"
"03/01/2013","1.0531","1.0681","1.0695","1.0451","","-1.35%"
"02/01/2013","1.0675","1.0985","1.1085","1.0666","","-2.80%"
"01/01/2013","1.0983","1.0922","1.1020","1.0648","","0.55%"
"12/01/2012","1.0923","1.0770","1.1011","1.0656","","1.22%"
"11/01/2012","1.0791","1.0733","1.0817","1.0508","","0.56%"
"10/01/2012","1.0731","1.0631","1.0856","1.0592","","0.89%"
"09/01/2012","1.0636","1.0476","1.0826","1.0405","","1.60%"
"08/01/2012","1.0468","1.0237","1.0524","1.0100","","2.23%"
"07/01/2012","1.0240","1.0548","1.0550","1.0026","","-2.85%"
"06/01/2012","1.0540","1.0292","1.0615","1.0231","","2.47%"
"05/01/2012","1.0286","1.1022","1.1060","1.0269","","-6.64%"
"04/01/2012","1.1018","1.1040","1.1112","1.0806","","-0.56%"
"03/01/2012","1.1080","1.1053","1.1102","1.0710","","0.22%"
"02/01/2012","1.1056","1.0860","1.1199","1.0749","","1.81%"
"01/01/2012","1.0859","1.0648","1.0970","1.0418","","1.91%"
"12/01/2011","1.0656","1.0946","1.1026","1.0469","","-2.61%"
"11/01/2011","1.0942","1.1397","1.1415","1.0715","","-3.96%"
"10/01/2011","1.1393","1.0987","1.1672","1.0734","","3.48%"
"09/01/2011","1.1010","1.2392","1.2970","1.0889","","-11.25%"
"08/01/2011","1.2405","1.2610","1.4108","1.2134","","-2.51%"
"07/01/2011","1.2724","1.1882","1.2738","1.1726","","6.99%"
"06/01/2011","1.1893","1.1708","1.2088","1.1691","","1.59%"
"05/01/2011","1.1707","1.1565","1.1813","1.1174","","1.43%"
"04/01/2011","1.1542","1.0885","1.1595","1.0704","","6.07%"
"03/01/2011","1.0881","1.0763","1.1154","1.0671","","1.14%"
"02/01/2011","1.0758","1.0585","1.0831","1.0227","","1.57%"
"01/01/2011","1.0592","1.0687","1.0748","1.0216","","-1.02%"
"12/01/2010","1.0701","0.9957","1.0820","0.9930","","7.48%"
"11/01/2010","0.9956","1.0177","1.0476","0.9944","","-2.19%"
"10/01/2010","1.0179","1.0168","1.0567","1.0069","","0.04%"
"09/01/2010","1.0175","0.9848","1.0302","0.9726","","3.23%"
"08/01/2010","0.9857","0.9613","0.9870","0.9408","","2.69%"
"07/01/2010","0.9599","0.9285","0.9653","0.9266","","3.43%"
"06/01/2010","0.9281","0.8656","0.9304","0.8527","","7.20%"
"05/01/2010","0.8658","0.9303","0.9307","0.8545","","-6.69%"
"04/01/2010","0.9279","0.9489","0.9584","0.9150","","-2.22%"
"03/01/2010","0.9490","0.9310","0.9535","0.9183","","1.89%"
"02/01/2010","0.9314","0.9431","0.9529","0.9170","","-1.20%"
"01/01/2010","0.9427","0.9659","0.9870","0.9393","","-2.37%"
"12/01/2009","0.9656","0.9949","1.0039","0.9514","","-2.93%"
"11/01/2009","0.9947","0.9745","1.0084","0.9671","","2.10%"
"10/01/2009","0.9742","0.9654","0.9970","0.9569","","0.91%"
"09/01/2009","0.9654","0.9439","0.9817","0.9339","","2.27%"
"08/01/2009","0.9440","0.9370","0.9501","0.9189","","0.88%"
"07/01/2009","0.9358","0.9204","0.9416","0.9126","","1.63%"
"06/01/2009","0.9208","0.9364","0.9443","0.9068","","-1.77%"
"05/01/2009","0.9374","0.8769","0.9387","0.8753","","6.97%"
"04/01/2009","0.8763","0.8773","0.8898","0.8517","","-0.14%"
"03/01/2009","0.8775","0.8537","0.8960","0.8358","","2.74%"
"02/01/2009","0.8541","0.8600","0.8773","0.8412","","-0.79%"
"01/01/2009","0.8609","0.9341","0.9426","0.8537","","-8.08%"
"12/01/2008","0.9366","0.8244","0.9645","0.8163","","13.68%"
"11/01/2008","0.8239","0.8641","0.8715","0.8131","","-4.62%"
"10/01/2008","0.8638","0.8929","0.8986","0.8509","","-3.29%"
"09/01/2008","0.8932","0.9103","0.9351","0.8758","","-1.63%"
"08/01/2008","0.9080","0.9546","0.9586","0.9020","","-4.89%"
"07/01/2008","0.9547","0.9793","0.9988","0.9501","","-2.56%"
"06/01/2008","0.9798","0.9594","0.9873","0.9485","","2.13%"
"05/01/2008","0.9594","0.9657","0.9791","0.9411","","-0.65%"
"04/01/2008","0.9657","1.0049","1.0113","0.9572","","-4.03%"
"03/01/2008","1.0063","0.9614","1.0335","0.9562","","4.78%"
"02/01/2008","0.9604","0.9242","0.9608","0.9002","","3.79%"
"01/01/2008","0.9253","0.8814","0.9295","0.8805","","4.91%"
"12/01/2007","0.8820","0.8840","0.8966","0.8596","","-0.12%"
"11/01/2007","0.8831","0.8630","0.9176","0.8590","","2.31%"
"10/01/2007","0.8632","0.8596","0.8652","0.8405","","0.50%"
"09/01/2007","0.8589","0.8277","0.8602","0.8227","","3.82%"
"08/01/2007","0.8273","0.8326","0.8461","0.8185","","-0.62%"
"07/01/2007","0.8325","0.8188","0.8360","0.8174","","1.70%"
"06/01/2007","0.8186","0.8161","0.8232","0.8018","","0.28%"
"05/01/2007","0.8163","0.8276","0.8298","0.8107","","-1.44%"
"04/01/2007","0.8282","0.8240","0.8337","0.8139","","0.68%"
"03/01/2007","0.8226","0.8195","0.8312","0.8092","","0.27%"
"02/01/2007","0.8204","0.8036","0.8234","0.7966","","2.01%"
"01/01/2007","0.8042","0.8205","0.8256","0.7953","","-2.00%"
"12/01/2006","0.8206","0.8344","0.8417","0.8147","","-1.64%"
"11/01/2006","0.8343","0.8037","0.8362","0.7947","","3.79%"
"10/01/2006","0.8038","0.7997","0.8061","0.7828","","0.54%"
"09/01/2006","0.7995","0.8116","0.8148","0.7919","","-1.56%"
"08/01/2006","0.8122","0.8122","0.8208","0.8033","","0.02%"
"07/01/2006","0.8120","0.8174","0.8206","0.7937","","-0.72%"
"06/01/2006","0.8179","0.8205","0.8324","0.7979","","-0.32%"
"05/01/2006","0.8205","0.8075","0.8389","0.8031","","1.64%"
"04/01/2006","0.8073","0.7669","0.8081","0.7611","","5.25%"
"03/01/2006","0.7670","0.7621","0.7769","0.7557","","0.63%"
